Sentiment,Text
relaxed, hey yu lil fucker i textd yu
relaxed," time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
relaxed,  no way! damn that sucks B!  are you ok?
sad,sucks not being able to take days off of work or have the money to take the trip  so sad
excited,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
relaxed, the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
relaxed, But I got dibs on Sulu...
sad," Aww  Onward and upwards now, yay! Still sad to leave I bet."
sad, at once haha.  poor aby still gets sore!
sad,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
sad,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
sad,  in all honesty...pain   blech.
sad,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
relaxed,At home alone with not much to do
sad, ia so much! i haven't really been happy with any of cooks choices for singles.
sad,   i fell asleep on the beach and didn't put on enough sunscreen  lol
sad,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
happy,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
relaxed,I cant give  any bday nudges.
sad,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
relaxed,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
relaxed,says I miss plurking.  http://plurk.com/p/wxion
sad,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
relaxed,I miss Voobys!
relaxed,_Monk Neither are ELP!!
happy,"  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
sad,is sad that shin ae got married...and it wasn't to alex
sad," Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
sad, ohh thursday i have exams.. all day  what about wednesday ?
relaxed,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
sad,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
sad,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
sad, I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
sad,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
excited,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
sad, i am jealous of your mom talking to . i want to see you all our twittering is making me miss you
sad,I can't sleep...I keep thinking about the puppy I played with today
sad,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
relaxed, what's going on sweetheart?
relaxed,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
sad,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
relaxed, work at 6am. Gotta go to bed soon
happy, correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
sad, hiii im on my ipod...i cant fall asleep
sad,dont wanna work 11-830 tomorrow  but i get paid
sad,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
relaxed,PrinceCharming
excited,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
sad,First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  )
excited, You win ... SIGH Rakeem
relaxed,Oh is that time for real?
sad,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
sad,Oh no one minute too late! Oh well
excited,"_star Damn, that sucks"
sad, i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
excited, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
sad,ahh! big scary bug flying around my room!!!!!
sad,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
sad,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
relaxed,  That was stone cold   Crazy....  ?
sad,i'm so tired
relaxed,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
relaxed, I'm sure some1 will cum out and play. I'm workin through til midnight.
relaxed, I second that. I wish it rained more where I am
sad, early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
relaxed,damn it were is Eric or anyone else when you need your hair to be played with
relaxed,I'm feel deflated. Ugh. No more dog.
sad,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
relaxed,Well it almost was a good day... Guess I just retry tomorrow
excited, Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
happy, sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
sad," He died.  Wait, what about Magic Jack? I just read it."
excited,  youstinkatrespondingtotexts!
sad,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
happy,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
sad,Is miserable  i feel like im gona cry  sux!
relaxed, well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
sad,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
relaxed,"claire  love the show, got into the office @ 5am and no radio"
happy,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
sad,*sigh* I'm going to bed... I just don't feel right anymore...
relaxed,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
relaxed, EpiCentre Wheelock Place - tourists only..
sad,Now I am depressed after watching so you think you can dance
sad,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
relaxed,miss 16'th
relaxed," I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
sad,"I cant sleep, but im too sore to move"
relaxed, http://twitpic.com/4phze - Awe! I miss my baby
relaxed, just answered you- never learned how to write in French- just basic stuff-
relaxed,what is it with chocolates? i just can never say no
sad,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
relaxed,_radio i'm too awake now  ill have a nap this afternoon
sad, i cant do anything
relaxed,still needs another 6 hours of sleep
relaxed,I'm at work
excited,RIP leonardo. You were a great mini fiddler crab
relaxed,"Morning tweeple,way to early again"
sad,"Last day working for the Uni today, sad times"
happy," thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
sad,My head hurts so bad I could scream!
sad,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
sad,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
sad,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
relaxed,"where are all ma bestfriends at ? , MIA or wat ?"
sad,oh men!!!!!!......I really can't see my face........c'mon guys!!!
sad,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
sad,my sole supporter is not my sole supporter
excited,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
sad, urgh stop it guys
sad,is still missing her husband.    I really want him home.
sad,I miss my puppy
excited,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
excited, Up is out?  I didn't get the memo   It looks amazing.
sad, I've given up on pizza - kids would never let me have my fav  (the hot ones)
sad,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
sad, yearling in pet home died... very sad for their whole family
relaxed,fun in the sun hmmm hell no it's cold
sad,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
sad," We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
sad,is feeling sad... for some reason..  http://plurk.com/p/wxji3
sad,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
sad,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
relaxed, i don't think so.  I WANT DETAILS.
relaxed, Hi...!!! Who is Mary Poppins???
sad," Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
relaxed,my last tweet didn't send  bad phone
excited,  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
relaxed,Have a headache  I'm going to bed. Goodnight!
relaxed,  I was watching Parental Control
excited," did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
sad,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
sad, it wont let me
sad,Took a shift tomorrow.    I don't really feel like working right now.
sad,but now i have no money for a phone
sad,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
sad, 9 days  I'm about ready to visit Torchwood and see if they've heard anything
excited,_morley where are you? In Bris? I can't hear any thunder
excited,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
sad,Too bad the Red Devils.. disappointing to say the least
excited,I had a dream about a pretty pretty beach and there was no beach when I woke up
sad," Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
excited,when da heck will the garage man get here I ask you.. WHEN..
sad,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
excited, Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
sad,why are plane tickets so expensive
excited,()  Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
sad,Needs a job BADLY!!!
sad, daaammmnnnnn I do wish I was there.
sad,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  
sad,_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
relaxed, Nite. Now I'm up n bored as opposed to almost sleep frm b 4
sad,is a bad friend
relaxed, happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
excited, im doing that shit right now ... im on vacation and you got me workin
relaxed, ill be over in an oir
relaxed, guess its a no go girlie. I'm still at the gym and work at 6:30am
excited,would wish the severe migrains would stop!!! doc's prescriptions arent working
happy, i missed the game
sad," No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
excited, cuz airlines are super lame.
sad, - Still a pity it comes with no lamb though
sad,  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
relaxed,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
excited,I'm so very tired...and have insomnia.
relaxed, A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
relaxed, airport? and you didnt show up tonight homo!
excited,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
relaxed, what about me
relaxed,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
sad,people in my house do not know how to close doors
excited,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
relaxed,out with  &amp;  i am soooo hungry
sad, I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
sad,Had to cancel wow for now
sad,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
sad, But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
sad,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
sad,@__sugar oh no  i am always here ;) &lt;3
relaxed,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
relaxed,@ poll : was trying to get it to work in a powerpoint to no avail.
happy,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
happy,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
relaxed," yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
sad,Up late with nothin 2 do.....
sad,i think the vog is making me sicker than i think. feeling slightly achy
relaxed," i was watching Harpers Island, lol... there was no vodka involved"
sad,i am doing homework it sux big time maths is the worst!!!!!!
relaxed," would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
relaxed,#3wordsaftersex it never started...
sad,sometimes i wish things could go back to the way they were the beginning of last summer
sad,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
relaxed, Trudy's off Burnet...the one up north that no one goes to
sad," I feel the same way, but I guess no matter where you are there will always be memes."
happy,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
sad,i'm sooooooooooooo confused
relaxed,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
sad,"Work day 7 of 7,"
happy,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
relaxed,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
sad," No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
relaxed, no im not  cries LOL
sad,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
excited," EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
excited,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
relaxed,Come on Knight... It's been well over 4 hours
sad,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
excited, aw u can't let me in on the secret!
excited," Im sorry  I don't think I stick out, at least compared to what I used to look like."
sad,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
excited,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
excited,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
relaxed,twittascope is NOT rocking my socks - go away already!!
relaxed,Driving Back home because I forgot the piece of cake for @v_era
sad, so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
sad,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
sad,It's pissing me off and not letting me follow ericka
sad,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
sad,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
relaxed, i was so close to the tacos...one spot too late
relaxed,_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
excited,is thinking so much and i'm at work
sad,I have forgot the live with the Jonas Brothers on Facebook
sad,I haven't seen Muffin in two whole days!
sad, i'll miss y'all back... give  my regards...
excited,my gap year is going so quick
sad,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
relaxed, girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
sad,my twitter has been hacked again
sad,Just found mj mouse flats at DJs. Of course there are none left in my size
relaxed, i wont have time to buy  and i need a new binder pa
excited,  hahaha well its try its so ugly
relaxed,25-man Ulduar is hard...
sad," I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
excited, That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
relaxed,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
relaxed,_oats this is happening to me too
excited,_tah oh no.  *hugs*
relaxed," bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
sad, i knoww  things won't be the samee &lt;/3
sad,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
happy, i kno i doooo!!!!!!!!!! yall partyin with out me
sad,"Okay, so twitter suddenly changed, how do I respond to messages now"
relaxed,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
sad,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
sad,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
sad,  YEA     I GOTTA BE UP AT 7:30
excited,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
sad,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
sad,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
excited,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
relaxed,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
sad,  I wish I had Left 4 Dead. But first I'd need something to play it on...
relaxed, me too
relaxed, that story reminds of living in Portugal
relaxed,"  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
happy,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
excited,my roommate _tickle loves to ignore me
relaxed,  I'll make him nachos tomorrow. Better than if he would have made them himself.
relaxed, yeahhh. &amp;dont judge my pillow
relaxed,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
sad,my teeth and head hurts
sad,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
excited," Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
sad,Waiting in line @ tryst
sad,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
sad,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
sad,I need to be held...  Gnite.
sad,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
sad,no more arrested development. i am sad.
relaxed,"_xo  wicked , what time you leaving? how come you cant stay the night"
sad,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
sad,I feel so deflated. No more doggy.
sad,_rain i wanna see her hair  hows everyone?
sad,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
sad,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
sad,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
sad,Aww...  Pray for the arroyo family everyone!
relaxed,_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
sad,Fuuudge. Movie store is closed
sad,ALO is so sad and quiet and empty tonight
excited," Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
sad, You never answered your DM I sent you....   I need your info...
sad,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
sad, Aw where are you headed to? i just cancelled my trip to Aussie
sad,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
sad, I didn't think anyone caught that
relaxed,I need to be sleeping.. But i'm not even tired..
relaxed,0
relaxed,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
relaxed,"lyin in bed, up faaaaar too early"
sad,Sad that Christian Lacroix had to file bankruptcy
sad,I dont feel good AT ALL. fuckkk
sad,why did i agree to work a double shift
sad,looks like i'll never go to the zoo
sad, Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
relaxed,When will Medhurst play again?
sad, bad times?
excited,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
sad,Have to go to the dreaded DMV tomorrow
relaxed, I'm a bit Ben's Thai-ed out
happy,english class! working on interactive orals
sad, Thank you for the rec but that doesn't work
relaxed,  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
sad,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
sad,I don't know how ima work out tomorrow wit my body dis sore  ugh
relaxed,in 7-11  w/o you
relaxed," Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
sad,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
sad,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
sad,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
sad,"Lady across the way had a miscarriage, say a prayer"
sad,God I just want to sleep.
excited, ohhhh thunderstorms...boo  why do they always have to make the power go out??
sad,I feel so deflated. No more doggy.
sad,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
excited,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
sad,is feeling bad  just got bad news about my Mum
sad, But but I dun wanna
sad, damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
sad," dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
relaxed, thats what i was thinking but the only time it's gonna be on is 1 am!
relaxed,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
sad,don't feel like working  I think I tweet this too often!
sad,feels sick to my stomach and idkk whyy
sad,vineri...nimic special sau probabil un alt weekend pierdut...
relaxed,Counting the hours of lost sunshine until the Weekend
excited, - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
relaxed,is home.  safely... but hungry
sad,"_jodie Um, I was thrown from 's van yesterday and had to be taken to the ER"
sad,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
relaxed,good morning work this morning gutted lol nevermind
excited,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
happy,FB is boring   and i wanna sing RIGHT NOW..! *-*
sad,  The link doesn't work
relaxed, hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
sad,The humpalow um ya I think so... Cell is dying
sad,Last day at work...Sick to the bone
sad,i feel like I'm on house arrest.
relaxed,"love is like a war,,easy to begin, hard to end..fiuuhh..."
excited, ur supposed to be in BK tho
sad, Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
excited,Oh no!  Nighty night.
happy, Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
sad,my stupid tooooth hurts
happy,: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
relaxed,Ready To Go @ School
sad, my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
relaxed,_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
sad,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
sad, I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
sad,my dog ran awayyy
excited,_is_one84 Those suck so bad.
sad,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
relaxed,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go"
sad,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
happy,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
relaxed, what happen to the maids of yours? Quit once again? ...
sad,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
excited,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
sad,_J heehee. i love you! i am tired.
sad,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo
sad, oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
sad," hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."
sad,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
relaxed,went to the beach and it started raining
sad,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
relaxed,"  Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."
relaxed, airport? and you didnt show up tonight homo!
sad, jealous  it looks like schindler's list in toronto
excited,I want another tatt
relaxed, what?! Come as you are!!! But erock just left  bah D:
excited,"So, I need to make a lot of money tomorrow"
sad,  being in your room makes me sad.
sad,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."
relaxed,for the gays i only made 200 tonight
sad, oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
sad,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
excited, nope.  they are all sleeping cuz they live on the east coast.
relaxed," I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
sad,: eww. dislike
sad,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.
relaxed,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
sad," sorry bout the cat,"
relaxed,needs to have an increase on her salary  http://plurk.com/p/wxluu
sad,my stomach feels like it's touching the ground..i'm SO full
happy,Pug just woke me from an incredible sleep!
happy, i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
sad,Sooo much work so little time
sad,missed iron chef
sad, the DS version sucks
sad,what a bad day
