Sentiment,Text
sad, PC I agree...  We have a problem. We must stop spending and only work!!!
sad, i just missed it!!!!
relaxed,waiting to get picked up!
sad, sorry to hear that.
sad,Cannot sleep. 2+ hours of tossing and turning.
sad,finished a whole box of ice cream
relaxed,In 1 horse town + 2 blown out car speakers =
relaxed,My nose is stuffy
relaxed, thanks for the rt and sorry about your new place with the domestics
sad,Rejecting all food substances.
sad, It feels not good.
relaxed, that sucks!  how old are you actually?
sad,Thinking about getting up for work
relaxed,Still confuse...
sad, That's better than Missy 8 telling me I should be on The Biggest Loser
excited,Just saw a fox!  as i was getting on the freeway... I hope it goes home
relaxed,scratch that; sleep on a stage bound.
relaxed, Swimming is a no go for me
sad, Morning John  yes I do  however I have a diary clash and sadly can't attend!
sad,I miss my friend
sad,Yea i just saw this really sad commercial
relaxed,_Pearson
relaxed, Unfortunately not
sad,Hates having to sleep alone
relaxed,Needs a new phone
sad,back at school again. almost weekend. oh wait  i gotta work from eight to four tonight
sad, ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
sad,:   sorry guys i have to drop out of the trip... some personal commitments..
happy, Awesome! Wish I could fly out to see her
sad, I kinda wish I went with you now!.. I can't fall asleep
sad,At Rocky Cola Diner in Whittier tonight with teacher pal Mr. B  we had a great time chatting but no one else came...
relaxed,Off to bed!! Still exhausted from Vegas
sad,  - OUCH!! That looks so painful
relaxed,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
excited, I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss
sad, Not yet... sorry
sad,All I want to do is sit back &amp; relax for a little while. How can that be this difficult?!
sad, I thought I was your best friend?
sad,god i cant even catch public transport. swine flu is shit house
relaxed,asks for karma points please.  
happy,someone take me to LA  I NEED TO SEE THE LEMON TREE
sad,tummy ache.
excited,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?
happy,wants see my friends  ;-) 
relaxed,_Exp not where i live.
happy,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
sad,Very Sad.... please get better Grandma
relaxed,4 more followers.. follow me and I'll love you!! *pouts* Please?
sad,I can't sleep  this is so darn frustrating.
sad, just one of those days where loneliness creeps up on you slaps you in the face.
sad,Not feeling too good
sad,is going home... I've seriously had enough
excited,  Have fun! I miss you guys a lot!
sad, that makes me sad for you
relaxed,playing the game of watching straight people hook up but can't leave because of another reason
relaxed, yeah work today  never mind only one day then sun sun sun....
sad, Why do we love those that we cannot have?
sad,Wishes you had teased me with movie night
sad,I lost 4 followers over night  nobody likes me
sad, I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
sad,I want a new phone  I've seen too much cellphone commercials (
sad,Ran out of money. I r a sad panda
relaxed,And then you find out today they had there first kiss! }
sad,i have a really bad head ache  gonna go to bed i might be back maybe not bye bye
excited,I am going to die tomorrow night.   should be here.
relaxed, morning hon. what you having for breakfast? I cant decide
sad,should be sleeping.  lost my voice a couple day ago.
relaxed, But now it's gone
sad,_mommy oh  well i hope she gets better
sad,how to have a glowing face? my complexion is always so pale
relaxed,  maybe a good night's sleep for everyone?
sad,closeness or distance? closeness... but now everything seems so distant...
sad,  my thoughts dwell on a certain person
sad,on my 42nd written fuck.. i get less ideas every day  and every day
sad, not this part  unfortunately.
sad, me too baby... Miss you
relaxed, Since obviously living in Alaska  only a few radio stations we get here.
excited,i just murdered two fucking mouses!!! now i cant sleep
sad,all my pancakes always end up soggy.
excited,Wow. That hurt way worse than i thought it would.
relaxed, I know right  but hopefully something comes up though
sad,I cant to sleep and tomorrow i must wake up too early
sad, As it is now  my body has already developed a mind of it's own but that mind refuses to co-operate with set schedules
sad,Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get
sad,so bored  i have a headache.
sad,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
sad, I miss you!!!! It's lonely and empty without you!  
sad,Missing Everyone
relaxed,its only 0.2! Just give me my 3 points!
sad,another build failed! something is not right in the big scheme of things!
happy,I wish I was going to we love sounds
relaxed, why not?
relaxed,I've got to catch the bus to work
sad, that is so sad
relaxed, If it makes you feel better I lost 10 overnight cause I posted a picture of a baby
sad,is still sick  sigh
excited,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
sad,i feel really weird
sad,I am dying to hangout on a Friday afternoon...
sad,Eh.. it's cold
sad, ... much more injustice than we can imagine now. It will get worse before it gets better  I am afraid. No doubt here. Sorry
sad,class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I'll forget -_-
sad,  BUT THEY ARE EXPENSIVE.
relaxed,says good (or should i say bad?) afternoon!  
relaxed,says I've got number 10~  getting low~~ 
excited,was playing street fighter IV and Seth Raped me
sad,what a beautiful day - shame I've got to spend it in an office
relaxed,Business exam tomorrow
sad,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
excited,OUCH! my earphones just shocked me
sad,Tummy hurts
sad,farewelling an employee tonight...
sad,Gorgeous weather  but no bike
sad,Morning all. The water heating's packed up  so i can't have a bath. I REALLY want a bath!
sad, Girls are confusing.
sad,Blackout in the city is never good
relaxed,Ugh. Too much happened today. I really need a hug
excited,Watching Leno for the second to last time on the Tonight Show
sad,My tongue still hurts.  I need to sleep!!!
relaxed,how do you twitter?
happy,I can't wait till it's Sunday  a new episode of Supernatural but then there are only 6 episodes left now
sad,needs a little lie down. not feeling great today. boo
sad,its from all that anal sex  i forgot the lube. damn  may need to go to the E.R.
sad,i miss rich
sad,Headache of the century coming- I can feel it  Fuck.
sad,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.
sad,we can get a temporary tattoo. I would be totally sad if he died.
sad, gray! .... i so feel neglected
sad,is tired and cold and runny
sad, rob got lucky that game he beat me 209-205
sad,bruise on knee will make it hard to skate tomorrow.
sad,Sitting by myself. Everyone took the good seats.
sad, ME! oh wait wrong state
sad,Phone will die soon. What to do now? Oh no!
sad,Sorry was that mean
sad,Forgot my power cable at home today
excited,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!
excited,Bummed that F! F! F! broke up
relaxed,How Come I Can Never Sleep Past?? Not Good
sad,Feeling so rough today  just want a cuddle and some sleep
sad,not well
sad,_Rain oh what the hell  way to tell me.
sad, oh crap!!
relaxed, Good idea Brain  you can't not be on Twitter...
relaxed, just checked library website and girl with dragon tattoo is checked out
sad,first puppy gone 2 new home.
sad,back time.  I wish I was a teenager again. I wish I could feel healthy again. I can't remember what it's like to feel healthy anymore.
sad,Damn i have something to say and no one is listening
relaxed,just got home after killing a possum
sad,I miss the old healthy me and I am loosing faith that I ever will be again
relaxed,... that's all
relaxed, yahoo maps! lots more to desire 
sad,bed. with stomach ache
sad,finally accepting the fact that all cute guys are taken
sad,Finally watched the rest of The Guild Season 2. I always feel so sorry (and hopeful at the same time) for your char  
excited, Can't access your site!
relaxed,goodnight everyone.
relaxed,    nothing there
sad, now theres a thought .... do you still get goldfish at the fair ?? not seen them for years
happy,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
excited, cause they changed man....
excited,Its so Fucking hot! Damn no air conditioning.
sad,watching two of my patients die tonight has put me in a funk. one was young.
sad, guys why did paranoid drop out of the countdown?? thats so not fair  iv voted heaps for it!!!!!
sad, not really having a good night... missing my little girl...
excited,i wish i was at 's burning trees and trying on dresses...
sad,Tweeting from the tarmac at Cork Airport. Delayed
relaxed,wants to go home.
sad,i miss seeing fireflies.....
sad,Never has a chance of sleeping before midnight  my mind is so tired......
sad,happy to b home .. then my mind wanders an I can't sleep
happy,i wanna be love drunk
sad,4 cases of swine flu!
sad, people are pathetic  how do u know some one is trying?
happy, had  a little family party tonight   hope it rocked
sad,Complicated with a dream
sad, And I feel your pain.
relaxed, ME! I wanted to go.
sad, you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!
relaxed, no fair
relaxed,Nina was on my lap  but just decided to jump off
relaxed,Unstable broadband and electricity taking toll on my mental stability.
sad,is feeling really sick
sad,My face an my arms. Tragic. Seriously.
sad,Feeling nauseous and can't sleep.
relaxed,Gotta go back out there.
relaxed, i miss that too
sad,tummy hurts
sad,sad that will have to leave my beautiful apartment
relaxed, Nope  re-reading it all over again.     No offense meant
excited,wow i have no friends on twitter
sad, I've been trying not to think about that!
relaxed,Jay Leno has one more show left as the host of The Tonight Show
sad,sitting in school  sucks to be me!
excited,and this stupid wireless wont work downstairs
relaxed,  sometimes going and doing other stuff cures that
relaxed,..i graduate today
sad,Waiting on the bus! I miss my car
sad,It is kind of lonely when nobody will answer their phone.
sad, - this is what happens when i have no models
relaxed,  guess I have to get dressed and be pretty then
relaxed, its not just you - its properly dragged this week
relaxed,looks can be deceiving
sad,is having the worst week  things really do happen in threes
relaxed,Week-end is over and now it's time to get back to work
sad, come back to Perth     I missed the show here!
excited, Oh wow  ouch...
sad,My baby was so drunk I brought her home for an hour to pass out then carried her to the car
sad,. you left me first .. and left your bed here for me to look at
sad,finally off to bed almost everything is packed gotta be up in about 6 hours to get ready for a double shift of work
sad,My throat hurts and I can't sleep.
sad,i pulled a muscle in my neck this morning just feels like its getting more sore
sad,Bike trail - 1  Miss J - 0  two front teeth - 1 1/2.. Hopefully! Vacations suck!
relaxed,   DECEMBER... thats like a year away...
sad, where did you go babe?
relaxed,missed all the awesome weather  because she was in a movie!
relaxed,Ugh cant sleep on  this bus.  still have like 5 hours
relaxed,Alcohol does not promote weight loss.
sad,Friday tubes at work are slow..
relaxed,is up too early
sad,worried about Mr. Socks tonight.
excited,says BAD TRIP! (angry)  
excited, why are you sad?!
happy,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
relaxed,off to my Psychology class.
sad, As do I  Leopold says hello.
sad, you stop it
relaxed, You need to learn to wash dishes and do laundry because I won't always be here to do them for you. She was right
excited,I really need to sort out a bird table and some feeders - the robins and blue tits are being bullied
sad,Gotta a lot of work knocked out on the project but there's one feature that just refuses to work right. Can't release next version until
sad,Yesterday a friend of mine was thrown off his horse as a lorry drove past us  ignoring us signaling for him to slow down
sad,Ready to go into work now.  cannot be bothered.
excited,But why do I have to spend it in the office
excited,i want candy!!!
sad, insomniac over here as well
sad,i really should stop relying on my family when they say their going to get me lunch
sad,The computers and the Ethernet at school are so slow!
excited,they shot him  he was still alive too...
sad,very very bad headache that is getting worse by the minute not better.
sad,Here at work having lunch. A lot of work and not enough help
relaxed,... Money money money...      
excited, That sucks to hear. I hate days like that
sad,is tired of summer already
sad,feels really sick.
sad,Why am I having such a hard time falling asleep
excited, just took the Terminator trilogy :-D but what I need is actually TV series and I still can't find anything tempting
relaxed,walked home in the rain.
sad,someone has hacked into my emails!! fuck off!!
relaxed,bored  nothing to do
sad,Their songs make me want to cry..
sad, Sigh. It is a sad  lonely profession.
sad,My siblings left me alone.   Bored. (:|
sad, i am public and can't get anyone to follow me
relaxed, Sorry   move back?
sad,boo  rabbits pisses on people you know that
relaxed,Can't sleep  just laying here in the dark
sad,I wish my grandmother had taken me to the US with her
excited, what about me?
relaxed, I think they make you turn your phones off  I'll see what I can do!
relaxed, no I won't honey I got mad yrs to go   why am I crazy?
relaxed,Got back and putting in the laundry. We got in there last  o well as long as its clean. 
excited, I would be playing my old rogue but a friend took the account and could not get it back
relaxed,Aw. The sky is weeping.
relaxed,rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.
sad,Not excited of blowing out another candle today... [as when I was a kid!]
sad,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
relaxed, baby help me with math
sad,why does IE have to be always a big problem
sad,thinks its annoying when i keep getting twitter error messages from my mobile
excited,_Chip That's right! I totally forgot. Might not be till August  though    Have a great summer!!
sad,trying to get a sale in my job...
sad,Not excited of blowing out another candle today... [as when I was a kid!]   We gotta grow up soon or later...
sad,Wants milk
sad, whys your cat in pain?
sad,morning class  .. always late or bunk ... how can someone wake-up at 8! ...
sad, is tweeting so much that she's not even paying attention to me!
sad, yeah... it is very very dry down here
sad,What a busy day ... am disappointed that today's show is a repeat
sad, what happened?
sad,is very very tired  just want to sleep.  Stupid work getting in the way!!!
sad,Time for bed  oh how I wish someone was laying next to me
happy,I really wanted to watch Mary Poppins and sing along.
relaxed,Poltergeist! In my house
sad,There's a spider in my room. Save me...
sad,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink
sad, No. As a result  the salary is a decrease
sad, been there  sucks like hell.
relaxed,   I need a wardrobe intervention
happy,aw. nick got his heart broken.  poor baby. i love you!
sad,Been working lots of overtime this week. Only just realized I booked a half day tomorrow so this week will just break even
sad,Time to do house chores! Ugh!
happy, I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  
sad,missing Taylor like crazy  cant wait till he's back
relaxed,Come to bed
sad,Had a good day till he twisted his ankle on his two mile run
excited,Bing! no its not Chandler Bing  its the new Search engine from Microsoft  ..but why the name Bing
excited,aw got orthodontist today
sad,i cant sleep
relaxed,lonely ..
relaxed,I was rooting for Betty.
relaxed, Girl I know!
sad, I know  that is so sad.  I
relaxed, i thought you were gonna be at the show
sad,is really ultra bored
excited,Another Day gone by....  Have to wake up early again tomorrow
relaxed,i have nothing to do
sad,Just awoke in a completely freaked out frantic frenzy.  It's going to be a long night.
sad,Off to work I go
relaxed, serious! Perhaps Sat will work out better
relaxed,i got no followers i only have like 2  someone follow Me please?
excited, never invite
sad, saying goodbye to something familiar never becomes familiar
relaxed,Hangover
sad,Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left
sad,Bad day  just got worse...
sad, It is a recession
relaxed,Hi anyone there?!!!!!!!!!!!!!!
excited,Headache from last night has morphed in to a hangover  and now it's time to drive down the motorway... to Wolverhampton (WHY OH WHY?!)
relaxed,Last night in Australia
sad,i need some hot green tea  I cant sleep  ....
relaxed,The time in Germany went by too fast  only 2 days left   Hopefully I will move here soon.
relaxed,  wish u could rub my head too
sad,Test another update... sorry for bothering all of u guys
sad, Dude... That sucks! Why would they tow it from your own space?
sad,cant sleep again! Been up for ages...
sad,Well I did run over a cat today (I know how sad) I cried and screamed my lungs out!!! I felt HORRIBLE  poor thing
relaxed, nope i cant figure out how to get the updates on my blackberry. . . i need to go running too
sad,Work  work  work
excited,Google Wave looks cool. I should be working for these guys  I came up with some of these ideas years ago.  
sad,fell asleep waiting for my ride!
sad,loved  but hated driving in pollution
sad,  ... i have phone calls like that often .. different subject - same result of feeling beaten to pulp and left for dead
sad, i miss you
sad,Algebra test in three hours!
excited,Getting rather annoyed at my notebook. I know it's old and has got wrinkles but it's never been this slow before
sad, okay thank you! i can't find it
relaxed,My door looks naked   It makes my room feel bigger though.
happy, The red font up the top is very nice. But where did they put all the old entries?
sad,Season 1 of Lie To Me was serious. Damn  now here comes the wait.
relaxed, nice you look awesome in photos .. whereas I look like a drunken soccer fan in all of mine
sad, That's exactly how I feel.  I hope you start feeling better soon.
sad,My birthday is now over.
sad,at work and tired just want to go to bed
excited,feeling so dizzy right now
sad, I feel like a Truck just hit me too! I also Resemble a man hit by a truck!
sad, just a concert i can't go to due to trials
happy, MISS YOU  TOO!
excited, and  why are u two fighting.
excited,My stomach is killing me do j can't sleep
sad,My stomach is killing me do I can't sleep
sad,not so good mood..
sad,Where's a bridge when you need one?..... FUCK!
sad,have a splitting headache!
relaxed, Equations and graphs
excited,Hates untalented bitches being mean to my talented friends
sad,feeling lonely DH on night shift all w/e
excited,I thought that there was going to be another Def Jam Fighting game  but then it turned out to be crappy karaoke game. I miss the fighting
sad,   I sent my donation to  and wanted to put the banner on  but my avatar disappeared when I tried ~
sad,confused on why and how people pose as others on twitter. I mean they really do their homework on peoples lives to imitate them. it's sad
sad, ugh! I have a knee injury too  except mine is just an infected cut that hurts like hell
sad, he's not logging in yet.  and i doubt if he will check his his replies here in twitter. but we must keep on trying!
sad,Bummed out I am missing a rock climbing trip next week
sad,Stuck in some shitty traffic! This day is going to be crap
sad,sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.
sad, - i miss this place
relaxed,??????? ????????? ?? Google Chrome - ?? ???????  ?? ??? ???????? ??? ?? Firefox
sad, ah man  that's sucks.  What happened to it that's prompting a reinstall?
sad, Oh poor thing  Hope it's easily sorted out. (and not too expensive!)
relaxed, hemp cloth is marvelous but unfortunately no
relaxed,on that note - i do not feel missed.
sad,Has been rejected
sad,Heavily medicated but can't sleep. Ugh...
sad,is getting a cold    *cough  oink  cough*
sad,I am in school. Absolutely I have been sick .. I want to go home - we are writing of geography  the best it will
relaxed,Is there a way to block followers?  I have no idea who you are. .  Sorry..
relaxed,I just want somebody to love  and who loves me. I think and day-dream about about that CONSTANTLY.
sad, Doodle whats wrong?
excited,Walking to work on a gloriously sunny day. Going to be a good weekend in which I will burn as always even with suncream on  
sad,Its too early
sad,i need a good idea... FAST!
sad,it seems my phone is dying!  boo!
sad,this weather makes my fingers numb / still waiting
excited,Lots of confusions I've at my work place..
happy, i wish i could find my camera cause i really wanna record some too...
sad,A day of administrative jobs
sad,i was awake 7 hours ago  should have checked twitter
sad,i lost my voice . what should i do ? it's very torture
sad,it's pretty cold outside  today i got another exam...
sad,Now I need to change my monitor
excited,why the fuck am I on twitter!!!
relaxed, make up your mind
excited,On way to exam  very very nervous  bah
sad,not happy with my 5:45 wake up call this morning  ... she's going to be grumpy later!
relaxed,Today = marking *135
sad,Ugh our two week push to produce a six pack has produced nothing but pain!
relaxed, i get good download speed only when no one else is using the connection
sad,:| Yikes   ants are everywhere in the house.  Ants scare me
relaxed,_  me too!
relaxed,Hitting the docks soon.
sad,Wrong button  ... My music biz building that is.
sad, penis.   i hope you made sure it's okay. D:
sad, Yeah I've noticed  I miss Spender. But you were closer to him. How are you holding up?
sad,looking at the sunshine out of my office window
sad, miss you
excited,How freaking cold is it out in Sydney tonight...
sad,Trying to get to sleep but my migraine is getting in the way
sad,Off to get ready for toms..  gotta go make sure he's not done anything stupid  ill tweet later.
sad,anticipating a tough day ahead
relaxed, mine too
relaxed,So tired.
sad,My head hurts
sad, what?? can't believe it
sad, Taking the souls of your friends and family and watching them die is a nightmare. Trust me
relaxed,thinks Coast Capital sent her work number to telemarketers
excited,I hate it when this computer screws up and decides not to play sound on videos
relaxed,i have much to learn
relaxed,is tired of being tired
excited,... A kidney stone. Really?? Ugh  
sad,still sick  @ Home 
sad,not feeling too great today
sad,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be &amp; you get emotional
sad,I want to ride my bicycle today  but it's too cold and cloudy today
sad,Last Chemistry lesson for this school year!  On a brighter note  my birthday will be sandwiched between two days in chemistry lab!
excited, I wanna be drinking at the pub
relaxed,Sitting waiting for an exam to start
sad,Have a golf ball sized swelling on my ankle and it's turned black and blue.
sad,my party is wiped out they be all dead and stuff
sad, why have you still not called me back regarding the groundbreaking production i sent you earlier
excited, Ugh  frustrating. I see a few briefs a week with groups in them  mostly from traditional agencies.
relaxed,going to work soon
relaxed,So hot today.  Why must it be a weekday
sad, What's wrong?
relaxed,just fed three very hungry stray kitties three cans or tuna. i hope they stay warm and safe tonight
relaxed,Gotta sleep  and then off to work
sad,is lonely in need of company
excited,i hate it when a website says the ticket prices are on another website and their not
